Symbol,Name,Weight,Chg,% Chg
CPT,Camden Property Trust,0.02%,-0.59,(-0.58%)
IVZ,Invesco,0.02%,0.48,(2.09%)
AES,AES Corporation,0.02%,0.01,(0.11%)
ZBRA,Zebra Technologies,0.02%,1.21,(0.59%)
DVA,DaVita,0.02%,-4.91,(-3.21%)
BLDR,Builders FirstSource,0.02%,0.56,(0.65%)
MOS,Mosaic Company (The),0.02%,-1.72,(-5.50%)
RVTY,Revvity,0.02%,-0.65,(-0.77%)
MGM,MGM Resorts,0.02%,0.35,(0.97%)
AOS,A. O. Smith,0.02%,0.05,(0.08%)
